[SPRITES]
# ID	Left	Top	Right	Bottom	TEX_ID

# spr-goomba-idle-0
100000	9	11	24	26	130

# spr-goomba-walk-0
100001	9	11	24	26	130

# spr-goomba-walk-1
100002	32	11	47	26	130

# spr-goomba-die-0
100003	54	16	69	25	130

# spr-red-goomba-idle-0
100004	104	70	119	85	130

# spr-red-goomba-idle-1
100005	125	70	140	85	130

# spr-red-goomba-walk-0
100006	104	70	119	85	130

# spr-red-goomba-walk-1
100007	125	70	140	85	130

# spr-red-goomba-die-0
100008	145	76	160	84	130

# spr-tan-para-goomba-idle-0
100009	125	10	144	28	130

# spr-tan-para-goomba-idle-1
100010	149	10	168	28	130

# spr-tan-para-goomba-flap-0
100011	75	6	94	29	130

# spr-tan-para-goomba-flap-1
100012	99	6	118	29	130

# spr-tiny-goomba-fall-0
100013	174	20	181	28	130

# spr-red-para-goomba-idle-0
100014	116	39	135	57	130

# spr-red-para-goomba-idle-1
100015	140	39	159	57	130

# spr-red-para-goomba-flap-0
100016	66	35	85	58	130

# spr-red-para-goomba-flap-1
100017	90	35	109	58	130

# spr-red-venus-fire-trap-headdown-0
100018	7	33	22	64	130

# spr-red-venus-fire-trap-headup-0
100019	7	71	22	102	130

# spr-green-venus-fire-trap-headdown-0
100020	6	166	21	189	130

# spr-green-venus-fire-trap-headup-1
100021	6	195	21	218	130

# spr-red-piranha-plant-attack-0
100022	171	35	186	66	130

# spr-red-piranha-plant-attack-1
100023	171	71	186	101	130

# spr-green-piranha-plant-attack-0
100024	7	107	22	129	130

# spr-green-piranha-plant-attack-1
100025	7	137	22	160	130

# spr-red-koopa-troopa-move-0
100026	28	67	43	92	130

# spr-red-koopa-troopa-move-1
100027	47	65	62	91	130

# spr-red-koopa-troopa-crouch-0
100028	71	75	88	90	130

# spr-red-koopa-troopa-shell-run-0
100029	29	97	44	112	130

# spr-red-koopa-troopa-shell-run-1
100030	50	96	65	111	130

# spr-red-koopa-troopa-shell-run-2
100031	71	96	86	111	130

# spr-green-koopa-troopa-move-0
100032	31	117	46	144	130

# spr-green-koopa-troopa-move-1
100033	50	117	65	144	130

