[SPRITES]
# ID	Left	Top	Right	Bottom	TEX_ID

# small mario map 0
0	220	8	233	23	70

# small mario map 1
1	237	8	250	23	70

# small mario walk 0
2	254	8	265	23	70

# small mario walk 1
3	268	8	283	23	70

# small mario skid 0
4	287	8	300	23	70

# small mario jump 0
5	304	8	319	23	70

# small mario run 0
6	323	8	338	23	70

# small mario run 1
7	341	8	356	23	70

# small mario high jump 0
8	360	8	375	23	70

# small mario slide 0
9	378	8	393	23	70

# small mario die 0
10	416	8	431	23	70

# small mario hold 0
11	435	8	448	23	70

# small mario hold 1
12	451	8	466	23	70

# small mario kick 0
13	470	8	485	23	70

# small mario dive 0
14	489	8	504	23	70

# small mario dive 1
15	508	8	523	23	70

# small mario swim 0
16	527	8	540	23	70

# small mario swim 1
17	544	8	557	23	70

# small mario idle front 0
18	397	8	412	23	70

# small mario idle 0
19	254	8	265	23	70

# small mario grow up
20	254	-4	265	23	70

# small mario climb 0
21	561	8	574	23	70

# small mario climb 1
22	578	8	591	23	70

# big mario map 0
23	159	53	174	74	70

# big mario map 1
24	178	53	193	74	70

# big mario walk 0
25	197	47	210	74	70

# big mario walk 1
26	214	47	229	74	70

# big mario walk 2
27	233	49	248	74	70

# big mario skid 0
28	252	47	267	74	70

# big mario jump 0
29	271	49	286	74	70

# big mario fall 0
30	233	49	248	74	70

# big mario run 0
31	289	47	308	74	70

# big mario run 1
32	311	47	330	74	70

# big mario run 2
33	334	49	353	74	70

# big mario high jump 0
34	356	49	375	74	70

# big mario crouch 0
35	379	57	392	74	70

# big mario slide 0
36	396	49	411	74	70

# big mario hold 0
37	434	47	447	74	70

# big mario hold 1
38	450	47	465	74	70

# big mario hold 2
39	469	48	484	75	70

# big mario kick 0
40	487	47	508	74	70

# big mario dive 0
41	511	47	530	74	70

# big mario dive 1
42	533	49	552	74	70

# big mario swim 0
43	555	47	574	74	70

# big mario swim 1
44	578	47	595	74	70

# big mario swim 2
45	598	49	617	74	70

# mario grow up
46	142	47	155	74	70

# big mario idle 0
47	197	47	210	74	70

# big mario idle front 0
48	415	47	430	74	70

# big mario climb 0
49	621	49	636	74	70

# big mario climb 1
50	640	49	655	74	70

# big mario roll 0
51	320	317	341	336	70

# big mario roll 1
52	344	317	363	336	70

# big mario roll 2
53	367	315	386	336	70

# big mario roll 3
54	390	317	409	336	70

# big mario roll 4
55	413	317	434	336	70

# big mario roll 5
56	437	317	456	336	70

# big mario roll 6
57	460	315	479	336	70

# big mario roll 7
58	483	317	502	336	70

# big luigi map 1
59	178	83	193	104	70

# big luigi walk 0
60	197	77	210	104	70

# big luigi walk 1
61	214	77	229	104	70

# big luigi walk 2
62	233	79	248	104	70

# big luigi skid 0
63	252	77	267	104	70

# big luigi jump 0
64	271	79	286	104	70

# big luigi fall 0
65	233	79	248	104	70

# big luigi run 0
66	289	77	308	104	70

# big luigi run 1
67	311	77	330	104	70

# big luigi run 2
68	334	79	353	104	70

# big luigi high jump 0
69	356	79	375	104	70

# big luigi crouch 0
70	379	87	392	104	70

# big luigi slide 0
71	396	79	411	104	70

# big luigi hold 0
72	434	77	447	104	70

# big luigi hold 1
73	450	77	465	104	70

# big luigi hold 2
74	469	78	484	105	70

# big luigi kick 0
75	487	77	508	104	70

# big luigi dive 0
76	511	77	530	104	70

# big luigi dive 1
77	533	79	552	104	70

# big luigi swim 0
78	555	77	574	104	70

# big luigi swim 1
79	578	77	595	104	70

# big luigi swim 2
80	598	79	617	104	70

# luigi grow up
81	142	77	155	104	70

# big luigi idle 0
82	197	77	210	104	70

# big luigi idle front 0
83	415	77	430	104	70

# big luigi climb 0
84	621	79	636	104	70

# big luigi climb 1
85	640	79	655	104	70

# big luigi roll 0
86	320	347	341	366	70

# big luigi roll 1
87	344	347	363	366	70

# big luigi roll 2
88	367	345	386	366	70

# big luigi roll 3
89	390	347	409	366	70

# big luigi roll 4
90	413	347	434	366	70

# big luigi roll 5
91	437	347	456	366	70

# big luigi roll 6
92	460	345	479	366	70

# big luigi roll 7
93	483	347	502	366	70

# raccoon mario map 0
94	4	146	19	169	70

# raccoon mario map 1
95	23	146	38	169	70

# raccoon mario walk 0
96	79	142	100	169	70

# raccoon mario walk 1
97	104	142	125	169	70

# raccoon mario walk 2
98	128	142	151	169	70

# raccoon mario skid 0
99	155	140	170	169	70

# raccoon mario spin 0
100	79	142	100	169	70

# raccoon mario spin 1
101	77	107	100	134	70

# raccoon mario spin 2
102	174	142	189	169	70

# raccoon mario spin 3
103	192	142	215	169	70

# raccoon mario spin 4
104	219	142	234	169	70

# raccoon mario spin 5
105	79	142	100	169	70

# raccoon mario jump 0
106	256	142	279	169	70

# raccoon mario fall 0
107	282	142	305	169	70

# raccoon mario run 0
108	282	142	305	169	70

# raccoon mario run 1
109	308	142	331	169	70

# raccoon mario run 2
110	335	142	356	169	70

# raccoon mario speed up 0
111	360	142	383	169	70

# raccoon mario speed up 1
112	387	142	410	169	70

# raccoon mario speed up 2
113	414	142	437	169	70

# raccoon mario fly 0
114	441	143	464	170	70

# raccoon mario fly 1
115	468	143	491	170	70

# raccoon mario fly 2
116	495	142	518	169	70

# raccoon mario crouch 0
117	522	152	543	169	70

# raccoon mario slide 0
118	547	142	562	169	70

# raccoon mario hold 0
119	565	142	586	169	70

# raccoon mario hold 1
120	590	142	611	169	70

# raccoon mario hold 2
121	614	143	637	170	70

# raccoon mario kick 0
122	641	142	662	169	70

# raccoon mario dive 0
123	666	142	689	169	70

# raccoon mario dive 1
124	693	142	716	169	70

# raccoon mario swim 0
125	720	142	743	169	70

# raccoon mario swim 1
126	746	142	769	169	70

# raccoon mario swim 2
127	773	142	796	169	70

# raccoon mario climb 0
128	800	142	815	169	70

# raccoon mario climb 1
129	819	142	834	169	70

# raccoon mario idle 0
130	79	142	100	169	70

# raccoon mario idle front 0
131	174	142	189	169	70

# raccoon mario roll 0
132	319	342	340	361	70

# raccoon mario roll 1
133	343	342	364	361	70

# raccoon mario roll 2
134	368	340	387	361	70

# raccoon mario roll 3
135	391	340	410	361	70

# raccoon mario roll 4
136	414	342	435	361	70

# raccoon mario roll 5
137	438	342	459	361	70

# raccoon mario roll 6
138	462	340	481	361	70

# raccoon mario roll 7
139	485	340	504	361	70

# fire mario map 0
140	124	114	139	135	70

# fire mario map 1
141	143	114	158	135	70

# fire mario idle front 0
142	458	108	473	135	70

# fire mario idle side 0
143	206	108	219	135	70

# fire mario walk 0
144	206	108	219	135	70

# fire mario walk 1
145	223	108	238	135	70

# fire mario walk 2
146	242	110	257	135	70

# fire mario skid 0
147	261	108	276	135	70

# fire mario throw 0
148	280	108	293	135	70

# fire mario throw 1
149	297	108	310	135	70

# fire mario jump 0
150	314	110	329	135	70

# fire mario fall 0
151	242	110	257	135	70

# fire mario run 0
152	332	108	351	135	70

# fire mario run 1
153	354	108	373	135	70

# fire mario run 2
154	377	110	396	135	70

# fire mario hold 0
155	477	108	490	135	70

# fire mario hold 1
156	493	108	508	135	70

# fire mario hold 2
157	512	109	527	136	70

# fire mario high jump 0
158	399	110	418	135	70

# fire mario crouch 0
